first_name,last_name,govt_id,phone_no,employee_rating,created_at,updated_at
Michael,Smith,ABCD123456,1112223333,4.5,2024-03-04 12:00:00,2024-03-04 12:00:00
Emily,Johnson,EFGH789012,4445556666,4.2,2024-03-04 12:00:00,2024-03-04 12:00:00
David,Brown,IJKL345678,7778889999,4.7,2024-03-04 12:00:00,2024-03-04 12:00:00
Sarah,Wilson,MNOP901234,8887776666,4.0,2024-03-04 12:00:00,2024-03-04 12:00:00
Chris,Taylor,QRST567890,3332221111,4.9,2024-03-04 12:00:00,2024-03-04 12:00:00
Amanda,Anderson,UVWX123456,6667778888,4.3,2024-03-04 12:00:00,2024-03-04 12:00:00
Daniel,Thomas,YZAB789012,9998887777,4.6,2024-03-04 12:00:00,2024-03-04 12:00:00
Laura,Jackson,CDEF345678,2223334444,4.2,2024-03-04 12:00:00,2024-03-04 12:00:00
John,White,GHIJ901234,5556667777,4.8,2024-03-04 12:00:00,2024-03-04 12:00:00
Jessica,Lee,KLMO567890,1234567890,4.1,2024-03-04 12:00:00,2024-03-04 12:00:00

